"age_group"	"sex"	"exposure"	"imd"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Men	Current	1	1	0	19	2	17	       0.3220246	      -3.7676254	      -3.7676254	       0.0000000	      -3.7676254
All	Men	Current	1	2	1	19	4	15	       0.2377941	      -3.7609072	      -3.6059367	       0.2615654	      -3.7203722
All	Men	Current	1	3	2	19	6	13	       0.2361111	      -3.4580692	      -3.1481282	       0.2880444	      -3.3687924
All	Men	Current	1	4	3	19	8	11	       0.2224867	      -3.2075631	      -2.7426517	       0.4919769	      -2.9788374
All	Men	Current	2	1	0	19	2	17	       0.3929340	      -3.5686116	      -3.5686116	       0.0000000	      -3.5686116
All	Men	Current	2	2	1	19	4	15	       0.1630996	      -4.1379515	      -3.9829810	       0.5849187	      -4.0473064
All	Men	Current	2	3	2	19	6	13	       0.1481235	      -3.9243249	      -3.6143839	       0.7598302	      -3.6888224
All	Men	Current	2	4	3	19	8	11	       0.1118056	      -3.8956685	      -3.4307571	       0.7598302	      -3.5424147
All	Men	Current	3	1	0	19	2	17	       0.2419993	      -4.0533186	      -4.0533186	       0.0000000	      -4.0533186
All	Men	Current	3	2	1	19	4	15	       0.1585634	      -4.1661578	      -4.0111873	       0.3447773	      -4.1127275
All	Men	Current	3	3	2	19	6	13	       0.1572602	      -3.8644694	      -3.5545285	       0.4110749	      -3.7370605
All	Men	Current	3	4	3	19	8	11	       0.1431871	      -3.6482783	      -3.1833669	       0.5511840	      -3.3920266
All	Men	Current	4	1	0	19	2	17	       0.0587038	      -5.4697481	      -5.4697481	       0.0000000	      -5.4697481
All	Men	Current	4	2	1	19	4	15	       0.0437552	      -5.4537021	      -5.2987316	       0.2546452	      -5.4142396
All	Men	Current	4	3	2	19	6	13	       0.0423427	      -5.1765758	      -4.8666348	       0.1988487	      -5.1149444
All	Men	Current	4	4	3	19	8	11	       0.0418573	      -4.8781650	      -4.4132536	       0.1789522	      -4.7949681
All	Men	Current	5	1	0	19	2	17	       0.3576663	      -3.6626529	      -3.6626529	       0.0000000	      -3.6626529
All	Men	Current	5	2	1	19	4	15	       0.1928505	      -3.9703970	      -3.8154265	       0.4608088	      -3.8989852
All	Men	Current	5	3	2	19	6	13	       0.1263492	      -4.0833222	      -3.7733813	       0.7661747	      -3.8458533
All	Men	Current	5	4	3	19	8	11	       0.1238858	      -3.7930704	      -3.3281590	       0.7661747	      -3.4368670
All	Women	Current	1	1	0	19	2	17	       0.2723393	      -3.9352047	      -3.9352047	       0.0000000	      -3.9352047
